,nuts2,country,count_github,count_twitter,count_total_contributors,population,contributors_per_100k
95,DE14,DE,260,44,304,1863966.0,16.309310362957266
96,BE24,BE,171,17,188,1156470.0,16.256366356239244
97,IE05,IE,246,16,262,1641057.0,15.965319912714794
98,FRE1,FR,568,80,648,4061166.0,15.95600869306992
99,RS12,RS,274,18,292,1847274.0,15.80707572347145
100,FI1C,FI,168,13,181,1148794.0,15.755653319916364
101,UKC2,UK,197,30,227,1455437.0,15.59669020369827
102,FRF1,FR,266,30,296,1908494.0,15.509611243210616
103,UKD6,UK,128,16,144,931347.0,15.46147676429945
104,ITI2,IT,36,98,134,870165.0,15.399378278832174
105,UKM5,UK,61,15,76,495365.0,15.34222240166342
106,AT31,AT,205,22,227,1490279.0,15.232047153586677
107,FRJ1,FR,399,33,432,2864782.0,15.079681455691917
108,NO07,NO,67,6,73,484547.0,15.065617989586151
109,NL23,NL,59,4,63,423021.0,14.89287765855596
110,UKF1,UK,278,50,328,2210381.0,14.839070730340154
111,UKK3,UK,73,11,84,568612.0,14.772815206151119
112,LV00,LV,244,31,275,1907675.0,14.41545336600836
113,ES61,ES,1082,120,1202,8478083.0,14.177733339010718
114,AT33,AT,101,6,107,757634.0,14.12291423035397
115,UKG3,UK,372,41,413,2928377.0,14.103375350919638
116,HR04,HR,355,23,378,2684363.0,14.08155305374124
117,FRL0,FR,645,59,704,5077582.0,13.864867174966351
118,ES12,ES,124,17,141,1018899.0,13.83846681565101
119,DEC0,DE,117,19,136,986887.0,13.780706403063371
120,RO11,RO,328,22,350,2547429.0,13.739342686292728
121,BE33,BE,140,9,149,1113943.0,13.375908821187439
122,DE92,DE,248,27,275,2148238.0,12.80118869510734
123,ITH1,IT,59,9,68,532644.0,12.76650070215754
124,NO03,NO,121,8,129,1011472.0,12.753689672081876
125,PL71,PL,229,79,308,2442685.0,12.609075668782507
126,DEA5,DE,396,50,446,3580568.0,12.456124279723216
127,ES53,ES,127,21,148,1210725.0,12.224080612855932
128,BE34,BE,32,3,35,289606.0,12.085384971305844
129,PT16,PT,192,72,264,2217285.0,11.906453162313369
130,DE13,DE,250,18,268,2271351.0,11.799145090300883
131,ES52,ES,519,70,589,5029341.0,11.711275890817504
132,UKD7,UK,158,22,180,1553324.0,11.58805246040105
133,ES21,ES,225,28,253,2189138.0,11.557060358917527
134,EL52,EL,194,22,216,1872102.0,11.537832874490814
135,UKK2,UK,126,28,154,1336003.0,11.526920223981532
136,SE21,SE,91,9,100,870200.0,11.491611123879569
137,NL12,NL,69,5,74,649957.0,11.385368570536205
138,DEA1,DE,501,85,586,5207457.0,11.253093400483191
139,UKN0,UK,182,28,210,1875957.0,11.194286436202962
140,BE21,BE,183,26,209,1873095.0,11.158003197915749
141,DE91,DE,156,21,177,1594929.0,11.097672686370366
142,FRD2,FR,186,19,205,1849826.0,11.082123399714353
143,ITC4,IT,987,117,1104,10027602.0,11.009611270969868
144,DK03,DK,123,10,133,1223105.0,10.87396421402905
145,PL22,PL,455,29,484,4475460.0,10.81453079683429
146,DEA4,DE,198,22,220,2055724.0,10.701825731469789
147,ITI4,IT,549,63,612,5755700.0,10.632937783414702
148,ES70,ES,208,29,237,2236992.0,10.59458415586645
149,ITI1,IT,340,48,388,3692555.0,10.50762954106303
150,ES24,ES,119,19,138,1330333.0,10.373342614217643
151,PT30,PT,22,4,26,254254.0,10.225994477962983
152,CY00,CY,80,10,90,888005.0,10.135078068254119
153,ITC1,IT,371,48,419,4311217.0,9.718833452363915
154,CH05,CH,99,14,113,1183813.0,9.545426515843296
155,DEF0,DE,241,35,276,2903773.0,9.504875208909237
156,ITH4,IT,104,10,114,1206216.0,9.451043594182137
157,ES11,ES,219,31,250,2702592.0,9.25037889551956
158,DE40,DE,207,24,231,2521893.0,9.159785922717578
159,FRF3,FR,190,22,212,2315678.0,9.154986142287486
160,ITH5,IT,369,39,408,4464119.0,9.13954130703057
161,NL42,NL,96,6,102,1117201.0,9.12995960440422
162,AT34,AT,32,4,36,397139.0,9.064836241215293
163,UKG1,UK,108,13,121,1352539.0,8.946137597511052
164,ITH3,IT,389,36,425,4879133.0,8.710563946504429
165,DEB3,DE,161,18,179,2062567.0,8.678505958836732
166,UKF2,UK,144,15,159,1843764.0,8.623663332183513
167,RO42,RO,139,13,152,1771480.0,8.580396053017816
168,EL43,EL,49,5,54,636504.0,8.48384299234569
169,DE23,DE,84,10,94,1112102.0,8.4524620943043
170,DE73,DE,92,10,102,1219473.0,8.36426882760012
