,MSA Name,Count Contributors,Population,Contributors/100k
C3734,"Palm Bay-Melbourne-Titusville, FL",79,601942,13
C3170,"Manchester-Nashua, NH",78,417025,18
C2342,"Fresno, CA",78,999101,7
C2542,"Harrisburg-Carlisle, PA",77,577941,13
C4378,"South Bend-Mishawaka, IN-MI",75,323613,23
C3710,"Oxnard-Thousand Oaks-Ventura, CA",74,846006,8
C4522,"Tallahassee, FL",73,387227,18
C2954,"Lancaster, PA",69,545724,12
C2202,"Fargo, ND-MN",67,246145,27
C3118,"Lubbock, TX",67,322257,20
C4150,"Salinas, CA",66,434061,15
C2842,"Kennewick-Richland, WA",66,299612,22
C4034,"Rochester, MN",66,221921,29
C3078,"Little Rock-North Little Rock-Conway, AR",65,742384,8
C3354,"Missoula, MT",64,119600,53
C4418,"Springfield, MO",64,470300,13
C3650,"Olympia-Tumwater, WA",62,290536,21
C2182,"Fairbanks, AK",62,96849,64
C2238,"Flagstaff, AZ",60,143476,41
C2134,"El Paso, TX",58,844124,6
C4142,"Salem, OR",56,433903,12
C3584,"North Port-Sarasota-Bradenton, FL",55,836995,6
C3626,"Ogden-Clearfield, UT",55,683864,8
C4862,"Wichita, KS",54,640218,8
C4918,"Winston-Salem, NC",53,676008,7
C3086,"Logan, UT-ID",52,142165,36
C3490,"Napa, CA",52,137744,37
C1702,"Chico, CA",51,219186,23
C4234,"Savannah, GA",51,393353,12
C1786,"Columbia, MO",51,208173,24
C4214,"Santa Fe, NM",50,150358,33
C2802,"Kalamazoo-Portage, MI",45,265066,16
C1474,"Bremerton-Silverdale, WA",41,271473,15
C2918,"Lafayette, LA",41,489207,8
C3494,"Naples-Immokalee-Marco Island, FL",40,384902,10
C2682,"Idaho Falls, ID",40,151530,26
C1226,"Augusta-Richmond County, GA-SC",40,608980,6
C4578,"Toledo, OH",39,641816,6
C3786,"Pensacola-Ferry Pass-Brent, FL",38,502629,7
C1222,"Auburn-Opelika, AL",38,164542,23
C1598,"Cape Coral-Fort Myers, FL",37,770577,4
C1966,"Deltona-Daytona Beach-Ormond Beach, FL",37,668365,5
C2306,"Fort Wayne, IN",36,413263,8
C1254,"Bakersfield, CA",36,900202,3
C4890,"Wilmington, NC",35,297533,11
C1270,"Barnstable Town, MA",34,212990,15
C3406,"Morgantown, WV",34,139044,24
C1594,"Canton-Massillon, OH",34,397520,8
C1630,"Cedar Rapids, IA",33,273032,12
C3790,"Peoria, IL",32,400561,7
C4254,"Scranton--Wilkes-Barre--Hazleton, PA",30,553885,5
C4966,"Youngstown-Warren-Boardman, OH-PA",30,536081,5
C4622,"Tuscaloosa, AL",29,252047,11
C4962,"York-Hanover, PA",29,449058,6
C4470,"Stockton-Lodi, CA",29,762148,3
C2874,"Kingston, NY",29,177573,16
C2454,"Greeley, CO",28,324492,8
C4110,"St. George, UT",28,177556,15
C2714,"Jackson, MS",27,594806,4
C1054,"Albany, OR",27,129749,20
C1378,"Binghamton, NY",27,238691,11
C2658,"Huntington-Ashland, WV-KY-OH",27,355873,7
C1401,"Bloomington, IL",27,171517,15
C4358,"Sioux City, IA-NE-SD",26,144701,17
C4654,"Utica-Rome, NY",26,289990,8
